transaction_id,customer_id,order_id,transaction_date,transaction_timestamp,amount,currency,payment_method,transaction_type,status,product_category,product_id,quantity,unit_price,channel,created_at,updated_at
TXN001,CUST001,ORD001,2023-01-16,2023-01-16 14:30:00,99.99,USD,Credit Card,Purchase,Completed,Electronics,PROD001,1,99.99,Online,2023-01-16 14:30:00,2023-01-16 14:30:00
TXN002,CUST001,ORD002,2023-02-15,2023-02-15 16:45:00,149.99,USD,Credit Card,Purchase,Completed,Clothing,PROD002,2,74.99,Online,2023-02-15 16:45:00,2023-02-15 16:45:00
TXN003,CUST002,ORD003,2023-02-02,2023-02-02 10:15:00,79.99,USD,PayPal,Purchase,Completed,Books,PROD003,3,26.66,Online,2023-02-02 10:15:00,2023-02-02 10:15:00
TXN004,CUST002,ORD004,2023-03-10,2023-03-10 13:20:00,299.99,USD,Credit Card,Purchase,Completed,Electronics,PROD004,1,299.99,In-Store,2023-03-10 13:20:00,2023-03-10 13:20:00
TXN005,CUST003,ORD005,2023-01-25,2023-01-25 11:00:00,49.99,USD,Debit Card,Purchase,Completed,Home & Garden,PROD005,1,49.99,Online,2023-01-25 11:00:00,2023-01-25 11:00:00
TXN006,CUST003,ORD006,2023-04-12,2023-04-12 15:30:00,199.99,USD,Credit Card,Purchase,Completed,Electronics,PROD006,1,199.99,Online,2023-04-12 15:30:00,2023-04-12 15:30:00
TXN007,CUST004,ORD007,2023-03-15,2023-03-15 12:45:00,89.99,USD,Apple Pay,Purchase,Completed,Health & Beauty,PROD007,2,44.99,Mobile App,2023-03-15 12:45:00,2023-03-15 12:45:00
TXN008,CUST004,ORD008,2023-04-20,2023-04-20 14:10:00,129.99,USD,Credit Card,Purchase,Completed,Clothing,PROD008,1,129.99,In-Store,2023-04-20 14:10:00,2023-04-20 14:10:00
TXN009,CUST005,ORD009,2022-12-01,2022-12-01 09:30:00,399.99,USD,Credit Card,Purchase,Completed,Electronics,PROD009,1,399.99,Online,2022-12-01 09:30:00,2022-12-01 09:30:00
TXN010,CUST005,ORD010,2023-01-15,2023-01-15 16:20:00,59.99,USD,Credit Card,Purchase,Completed,Books,PROD010,2,29.99,Online,2023-01-15 16:20:00,2023-01-15 16:20:00
TXN011,CUST005,ORD011,2023-02-28,2023-02-28 11:45:00,179.99,USD,Credit Card,Purchase,Completed,Home & Garden,PROD011,1,179.99,In-Store,2023-02-28 11:45:00,2023-02-28 11:45:00
TXN012,CUST005,ORD012,2023-04-05,2023-04-05 13:15:00,249.99,USD,Credit Card,Purchase,Completed,Electronics,PROD012,1,249.99,Online,2023-04-05 13:15:00,2023-04-05 13:15:00
TXN013,CUST006,ORD013,2023-03-05,2023-03-05 10:30:00,34.99,USD,Debit Card,Purchase,Completed,Health & Beauty,PROD013,1,34.99,Online,2023-03-05 10:30:00,2023-03-05 10:30:00
TXN014,CUST007,ORD014,2022-09-01,2022-09-01 14:45:00,199.99,USD,Credit Card,Purchase,Completed,Clothing,PROD014,1,199.99,In-Store,2022-09-01 14:45:00,2022-09-01 14:45:00
TXN015,CUST007,ORD015,2022-11-15,2022-11-15 16:00:00,79.99,USD,Credit Card,Purchase,Completed,Books,PROD015,4,19.99,Online,2022-11-15 16:00:00,2022-11-15 16:00:00
TXN016,CUST007,ORD016,2023-01-20,2023-01-20 12:30:00,449.99,USD,Credit Card,Purchase,Completed,Electronics,PROD016,1,449.99,Online,2023-01-20 12:30:00,2023-01-20 12:30:00
TXN017,CUST007,ORD017,2023-03-25,2023-03-25 15:20:00,99.99,USD,Credit Card,Purchase,Completed,Home & Garden,PROD017,1,99.99,In-Store,2023-03-25 15:20:00,2023-03-25 15:20:00
TXN018,CUST008,ORD018,2023-04-10,2023-04-10 11:15:00,159.99,USD,PayPal,Purchase,Completed,Clothing,PROD018,2,79.99,Online,2023-04-10 11:15:00,2023-04-10 11:15:00
TXN019,CUST009,ORD019,2023-01-12,2023-01-12 13:45:00,24.99,USD,Credit Card,Purchase,Completed,Books,PROD019,1,24.99,Online,2023-01-12 13:45:00,2023-01-12 13:45:00
TXN020,CUST010,ORD020,2022-12-20,2022-12-20 10:00:00,329.99,USD,Credit Card,Purchase,Completed,Electronics,PROD020,1,329.99,In-Store,2022-12-20 10:00:00,2022-12-20 10:00:00
TXN021,CUST010,ORD021,2023-02-14,2023-02-14 14:30:00,69.99,USD,Apple Pay,Purchase,Completed,Health & Beauty,PROD021,1,69.99,Mobile App,2023-02-14 14:30:00,2023-02-14 14:30:00
TXN022,CUST010,ORD022,2023-04-18,2023-04-18 16:45:00,119.99,USD,Credit Card,Purchase,Completed,Clothing,PROD022,1,119.99,Online,2023-04-18 16:45:00,2023-04-18 16:45:00
TXN023,CUST011,ORD023,2023-03-28,2023-03-28 09:20:00,189.99,USD,Credit Card,Purchase,Completed,Home & Garden,PROD023,1,189.99,In-Store,2023-03-28 09:20:00,2023-03-28 09:20:00
TXN024,CUST012,ORD024,2023-02-20,2023-02-20 15:10:00,44.99,USD,Debit Card,Purchase,Completed,Books,PROD024,2,22.49,Online,2023-02-20 15:10:00,2023-02-20 15:10:00
TXN025,CUST012,ORD025,2023-04-08,2023-04-08 12:00:00,279.99,USD,Credit Card,Purchase,Completed,Electronics,PROD025,1,279.99,Online,2023-04-08 12:00:00,2023-04-08 12:00:00
TXN026,CUST013,ORD026,2022-11-10,2022-11-10 11:30:00,149.99,USD,Credit Card,Purchase,Completed,Clothing,PROD026,1,149.99,In-Store,2022-11-10 11:30:00,2022-11-10 11:30:00
TXN027,CUST013,ORD027,2023-01-05,2023-01-05 14:15:00,89.99,USD,Credit Card,Purchase,Completed,Health & Beauty,PROD027,3,29.99,Online,2023-01-05 14:15:00,2023-01-05 14:15:00
TXN028,CUST013,ORD028,2023-03-12,2023-03-12 16:30:00,199.99,USD,Credit Card,Purchase,Completed,Electronics,PROD028,1,199.99,Online,2023-03-12 16:30:00,2023-03-12 16:30:00
TXN029,CUST014,ORD029,2023-04-25,2023-04-25 10:45:00,129.99,USD,PayPal,Purchase,Completed,Home & Garden,PROD029,1,129.99,Online,2023-04-25 10:45:00,2023-04-25 10:45:00
TXN030,CUST015,ORD030,2022-09-15,2022-09-15 13:00:00,499.99,USD,Credit Card,Purchase,Completed,Electronics,PROD030,1,499.99,In-Store,2022-09-15 13:00:00,2022-09-15 13:00:00
TXN031,CUST015,ORD031,2022-12-03,2022-12-03 15:45:00,79.99,USD,Credit Card,Purchase,Completed,Books,PROD031,4,19.99,Online,2022-12-03 15:45:00,2022-12-03 15:45:00
TXN032,CUST015,ORD032,2023-02-18,2023-02-18 11:20:00,239.99,USD,Credit Card,Purchase,Completed,Clothing,PROD032,2,119.99,Online,2023-02-18 11:20:00,2023-02-18 11:20:00
TXN033,CUST016,ORD033,2023-02-01,2023-02-01 12:15:00,54.99,USD,Debit Card,Purchase,Completed,Health & Beauty,PROD033,1,54.99,Online,2023-02-01 12:15:00,2023-02-01 12:15:00
TXN034,CUST017,ORD034,2023-03-08,2023-03-08 14:40:00,169.99,USD,Apple Pay,Purchase,Completed,Electronics,PROD034,1,169.99,Mobile App,2023-03-08 14:40:00,2023-03-08 14:40:00
TXN035,CUST017,ORD035,2023-04-15,2023-04-15 16:20:00,94.99,USD,Credit Card,Purchase,Completed,Home & Garden,PROD035,1,94.99,In-Store,2023-04-15 16:20:00,2023-04-15 16:20:00
TXN036,CUST018,ORD036,2022-12-01,2022-12-01 09:30:00,219.99,USD,Credit Card,Purchase,Completed,Clothing,PROD036,1,219.99,In-Store,2022-12-01 09:30:00,2022-12-01 09:30:00
TXN037,CUST018,ORD037,2023-03-20,2023-03-20 13:50:00,39.99,USD,PayPal,Purchase,Completed,Books,PROD037,2,19.99,Online,2023-03-20 13:50:00,2023-03-20 13:50:00
TXN038,CUST019,ORD038,2023-02-12,2023-02-12 15:25:00,349.99,USD,Credit Card,Purchase,Completed,Electronics,PROD038,1,349.99,Online,2023-02-12 15:25:00,2023-02-12 15:25:00
TXN039,CUST019,ORD039,2023-04-03,2023-04-03 11:40:00,74.99,USD,Credit Card,Purchase,Completed,Health & Beauty,PROD039,2,37.49,Online,2023-04-03 11:40:00,2023-04-03 11:40:00
TXN040,CUST020,ORD040,2022-12-10,2022-12-10 14:05:00,159.99,USD,Credit Card,Purchase,Completed,Home & Garden,PROD040,1,159.99,In-Store,2022-12-10 14:05:00,2022-12-10 14:05:00